name,coordinates,class,AgroClimaticZone
1,"77.5506375,8.086391",1,12
10,"77.347437,9.083038",1,11
100,"79.2884435,11.689433",1,11
1000,"81.296891,24.542473",1,8
10000,"76.939648,11.307999",2,10
10001,"77.7109415,11.3327095",2,10
10002,"77.17112,11.3501255",1,10
10003,"77.8922935,11.3825245",1,10
10004,"77.702187,11.437231",1,10
10005,"78.597537,11.597124",1,10
10006,"78.604941,11.599408",1,10
10007,"76.083834,11.608805",1,12
10008,"75.6891345,11.619596",2,12
10009,"78.1503075,11.631156",1,10
1001,"87.0100465,24.5545435",2,7
10010,"78.160549,11.637881",1,10
10011,"78.1459285,11.65252",1,10
10012,"78.1350595,11.656828",2,10
10013,"78.175259,11.6576045",1,10
10015,"79.769311,11.7064585",2,11
10016,"79.5750725,11.767701",2,11
10017,"75.766167,11.794385",2,12
10018,"79.4858445,11.9301865",2,11
10019,"79.801203,11.9445685",1,11
1002,"80.854467,24.571753",2,8
10020,"75.2197875,12.1077125",2,12
10021,"76.6276705,12.269984",2,10
10022,"78.1527145,12.1318415",1,10
10023,"79.0828145,12.234593",2,11
10024,"76.6210715,12.2825525",1,10
10025,"76.6534525,12.2883705",2,10
10026,"76.6511035,12.3149295",2,10
10027,"76.632724,12.3260415",2,10
10028,"76.6858345,12.42191",1,10
10029,"79.8841145,12.5062195",2,11
1003,"80.808707,24.574039",1,8
10030,"76.8957015,12.530939",1,10
10031,"77.2040975,12.6500455",2,10
10032,"77.8189095,12.7357865",1,10
10033,"79.726629,12.8175365",2,11
10034,"79.707833,12.818984",1,11
10035,"77.7851455,12.859218",1,10
10036,"74.831313,12.8599245",2,12
10037,"77.559024,12.898719",1,10
10038,"79.324087,12.8992105",2,10
10039,"79.1356405,12.9029405",2,10
1004,"73.722177,24.575233",1,8
10040,"77.615961,12.915775",2,10
10041,"77.6010025,12.9231175",1,10
10042,"77.5481275,12.9329185",1,10
10043,"79.1385645,12.9505465",2,10
10044,"77.5353385,12.962743",1,10
10045,"77.572468,12.964152",2,10
10046,"80.159031,12.9645325",1,11
10047,"77.3995255,12.9657595",1,10
10048,"77.528433,12.966007",1,10
10049,"80.205629,12.96999",1,11
1005,"73.7120425,24.5918945",2,8
10050,"77.602733,12.970531",2,10
10051,"77.5552995,12.972582",1,10
10052,"77.5823925,12.9768935",2,10
10053,"80.1985725,12.977134",1,11
10054,"77.623856,12.9798125",1,10
10055,"77.5858525,12.9799055",2,10
10056,"77.600024,12.9872825",1,10
10057,"77.6727605,12.9916995",1,10
10058,"77.6648115,12.9993615",2,10
10059,"77.699186,13.0010075",1,10
1006,"73.697049,24.5920895",2,8
10060,"77.6534485,13.0039725",2,10
10061,"80.2592865,13.0153815",1,11
10062,"77.5508225,13.0164645",1,10
10063,"77.632841,13.0166105",2,10
10064,"77.520825,13.0232755",1,10
10065,"77.5838425,13.02345",2,10
10066,"80.191782,13.0319665",1,11
10067,"77.612369,13.0321525",2,10
10068,"80.2610755,13.0331135",2,11
10069,"80.218031,13.0390205",1,11
1007,"73.6879095,24.59789",1,8
10070,"80.164704,13.04135",2,11
10071,"77.581783,13.043115",2,10
10072,"80.2172925,13.047946",1,11
10073,"80.208736,13.050516",1,11
10074,"80.236735,13.0512895",1,11
10075,"80.186212,13.0564095",2,11
10076,"80.163259,13.0592115",1,11
10077,"80.2460125,13.0648585",2,11
10078,"80.243904,13.073317",1,11
10079,"80.220489,13.0766585",1,11
1008,"74.6926665,24.6224615",1,8
10080,"80.279943,13.079766",2,11
10081,"80.2457875,13.0826765",1,11
10082,"80.2292095,13.0847275",2,11
10083,"80.292365,13.087096",2,11
10084,"80.1906545,13.092322",1,11
10085,"80.217386,13.093232",2,11
10086,"80.2039995,13.0955545",2,11
10087,"80.187797,13.097109",1,11
10088,"80.2373005,13.0977575",1,11
10089,"80.270782,13.0987365",2,11
1009,"84.7895305,24.636234",1,4
10090,"77.5780225,13.0996265",2,10
10091,"77.394996,13.100449",1,10
10092,"80.2481125,13.1007575",1,11
10093,"80.2797655,13.103217",1,11
10094,"80.1541945,13.1066715",2,11
10095,"80.2546,13.1095375",2,11
10096,"80.245827,13.1130855",1,11
10097,"80.155512,13.1244785",1,11
10098,"78.133931,13.131672",2,10
10099,"78.400804,13.160523",2,10
101,"78.0435775,11.7407735",2,10
1010,"86.7477205,24.6703005",2,7
10100,"78.392884,13.162345",1,10
10101,"80.302439,13.1689545",1,11
10102,"80.18976,13.3326565",2,11
10103,"74.75151,13.3373535",2,12
10104,"75.8011465,13.3405445",2,12
10105,"74.774358,13.346278",2,12
10106,"77.86277,13.3957",2,10
10107,"78.510923,13.548287",2,10
10108,"79.425451,13.6213005",1,10
10109,"79.483274,13.635937",2,10
1011,"84.7252195,24.676068",2,4
10110,"79.4115735,13.643269",2,10
10111,"75.8129925,13.7079545",1,12
10112,"76.901749,13.737742",2,10
10113,"77.498151,13.8203885",1,10
10114,"77.5039715,13.8351325",1,10
10115,"75.5817345,13.9341515",2,12
10116,"75.5592625,13.9387835",1,12
10117,"79.583149,13.9644675",2,11
10118,"76.1844255,14.0390485",2,10
10119,"77.601251,14.082096",1,10
1012,"83.0602375,24.6831445",2,4
10120,"78.1633535,14.1160515",2,10
10121,"79.8375255,14.1439235",2,11
10122,"79.8432195,14.1484035",2,11
10123,"75.6479255,14.239982",1,10
10124,"79.957873,14.4164155",1,11
10125,"77.7305655,14.420095",2,10
10126,"79.9806775,14.4432025",2,11
10127,"79.9961135,14.454514",1,11
10128,"78.8232595,14.4577465",1,10
10129,"78.810894,14.466764",1,10
1013,"84.021775,24.725007",2,4
10130,"78.8197735,14.4758465",2,10
10131,"75.9185945,14.4786745",1,10
10132,"79.9882165,14.499419",1,11
10133,"79.8791355,14.541677",2,11
10134,"78.5352625,14.6404055",1,10
10135,"77.6008295,14.6810795",1,10
10136,"75.122645,14.7581785",1,10
10137,"78.383805,14.8426145",2,10
10138,"77.984655,14.909012",2,10
10139,"78.59137,14.958348",1,10
1014,"84.381893,24.7456785",1,4
10140,"76.544695,15.0846475",2,10
10141,"76.934093,15.137547",1,10
10142,"76.921746,15.151016",2,10
10143,"76.926648,15.1545275",2,10
10144,"80.031398,15.257905",1,11
10145,"76.378399,15.263613",2,10
10146,"73.9589645,15.2983685",1,12
10147,"78.226121,15.31533",1,10
10148,"76.153988,15.3398275",1,10
10149,"80.02428,15.5037305",2,11
1015,"84.377307,24.7481955",1,4
10150,"76.7594445,15.7668975",1,10
10151,"79.9724495,15.8105735",1,11
10152,"78.0234765,15.821115",2,10
10153,"80.3443695,15.8262525",2,11
10154,"78.0200845,15.841576",1,10
10155,"74.5180085,15.8418535",1,10
10156,"78.2620825,15.855354",1,10
10157,"78.1360505,15.882961",2,10
10158,"80.4757935,15.9080315",2,11
10159,"80.4956165,15.926418",2,11
1016,"93.9400655,24.784172",2,2
10160,"80.9191575,15.9461555",1,11
10161,"80.8165045,16.017889",2,11
10162,"80.8733365,16.0329115",2,11
10163,"79.7365995,16.054377",1,11
10164,"80.55201,16.0788015",2,11
10165,"80.166051,16.0811165",2,11
10166,"80.1674865,16.0958925",2,11
10167,"80.932911,16.117206",2,11
10168,"76.5176375,16.1601385",2,10
10169,"81.1117575,16.1618025",2,11
1017,"93.931716,24.797176",1,2
10170,"80.050399,16.22312",1,11
10171,"81.137989,16.252538",2,11
10172,"80.44032,16.277071",2,11
10173,"80.458614,16.2835025",1,11
10174,"80.428799,16.285246",2,11
10175,"80.442744,16.289115",1,11
10176,"80.4886925,16.311866",1,11
10177,"80.441686,16.312162",1,11
10178,"80.4144555,16.3164645",2,11
10179,"80.4273955,16.323207",1,11
1018,"87.029444,24.8044125",1,7
10180,"80.493445,16.3401745",1,11
10181,"78.0686645,16.3619065",2,10
10182,"81.688093,16.4299035",1,11
10183,"80.7050135,16.4761005",1,11
10184,"80.6725695,16.4863665",1,11
10185,"80.673638,16.495478",1,11
10186,"80.6771785,16.5210815",1,11
10187,"80.603018,16.522564",1,11
10188,"80.634654,16.5231675",1,11
10189,"80.591829,16.529789",2,11
1019,"85.559295,24.8230655",2,4
10190,"80.6453005,16.5312925",2,11
10191,"81.1987275,16.543516",2,11
10192,"80.6439205,16.543825",1,11
10193,"75.167259,16.554279",2,10
10194,"80.545346,16.5663335",2,11
10195,"80.357518,16.579281",1,11
10196,"74.399531,16.6234925",2,9
10197,"74.8485235,16.62705",2,10
10198,"80.9734835,16.6347935",1,11
10199,"78.927395,16.689129",2,10
102,"78.9628555,11.740931",1,11
1020,"87.214373,24.8251395",2,7
10200,"74.252079,16.690792",2,9
10201,"74.1948715,16.691031",2,9
10202,"74.263796,16.6993685",1,9
10203,"74.453673,16.716037",2,9
10204,"74.6027995,16.7316325",1,9
10205,"77.989888,16.7437615",1,10
10206,"78.001742,16.756171",1,10
10207,"80.292471,16.762317",2,11
10208,"79.8724055,16.7789265",1,10
10209,"81.5275535,16.783011",2,11
1021,"93.934639,24.8256",1,2
10210,"81.50718,16.805337",2,11
10211,"81.5178,16.8242815",2,11
10212,"75.725423,16.828013",1,10
10213,"75.717567,16.828889",1,10
10214,"79.9845715,16.8453625",2,10
10215,"79.5486235,16.8535725",2,10
10216,"74.581777,16.861203",2,9
10217,"81.9883435,16.8623965",1,11
10218,"74.578051,16.8647415",1,9
10219,"74.621281,16.869614",1,9
1022,"84.6480265,24.8260785",1,4
10220,"77.3905125,16.8710475",2,10
10221,"79.542704,16.876717",1,10
10222,"74.633293,16.8781475",2,9
10223,"79.8682785,16.9052505",1,10
10224,"82.2305415,16.935881",1,11
10225,"81.796457,16.9748595",2,11
10226,"81.7752525,17.003892",1,11
10227,"81.7979185,17.0086815",1,11
10228,"81.8019965,17.011631",2,11
10229,"81.7983515,17.0332885",2,11
1023,"87.3046815,24.8310215",2,7
10230,"81.8029985,17.0371195",2,11
10231,"79.2673605,17.037971",2,10
10232,"76.9899355,17.0545345",1,10
10233,"74.27389,17.058265",2,9
10234,"79.260813,17.0633695",1,10
10235,"82.1479305,17.070339",2,11
10236,"82.2580055,17.1205955",1,11
10237,"77.295553,17.164758",1,10
10238,"81.8314985,17.1702745",1,11
10239,"80.143163,17.2386025",2,10
1024,"92.80126,24.83334",1,2
10240,"78.89511,17.2556555",2,10
10241,"74.186583,17.2751625",2,9
10242,"77.455142,17.3030075",2,10
10243,"78.4323545,17.3036705",1,10
10244,"78.483241,17.3152965",1,10
10245,"78.5204405,17.321777",1,10
10246,"78.429638,17.3225945",1,10
10247,"76.85184,17.3280535",2,10
10248,"76.8389875,17.3392005",1,10
10249,"78.4908635,17.3407215",1,10
1025,"85.9195465,24.8376285",2,4
10250,"78.582027,17.346872",1,10
10251,"76.832981,17.34894",2,10
10252,"76.840458,17.3526015",1,10
10253,"76.8514925,17.354329",1,10
10254,"78.4659475,17.3604595",1,10
10255,"78.4393475,17.3608975",1,10
10256,"82.563834,17.362007",2,11
10257,"78.510435,17.3690555",2,10
10258,"78.455983,17.3795445",2,10
10259,"78.5140915,17.385962",1,10
1026,"85.354127,24.850944",1,4
10260,"78.484829,17.3859635",1,10
10261,"77.963244,17.3859865",2,10
10262,"78.519827,17.393266",1,10
10263,"78.5669085,17.3985555",1,10
10264,"78.474414,17.409862",2,10
10265,"78.501734,17.4106625",1,10
10266,"78.4033445,17.4112255",2,10
10267,"78.5312455,17.4419605",2,10
10268,"78.4597885,17.442077",2,10
10269,"80.1518085,17.4473605",2,10
1027,"86.2234185,24.906781",2,4
10270,"78.495996,17.46699",2,10
10271,"78.476783,17.472515",2,10
10272,"78.567166,17.481835",2,10
10273,"78.415211,17.483142",1,10
10274,"78.318241,17.4944415",1,10
10275,"78.3871975,17.5007665",1,10
10276,"78.1693015,17.506173",1,10
10277,"75.445412,17.5080725",1,9
10278,"78.4603135,17.5087295",1,10
10279,"78.395357,17.516307",1,10
1028,"84.194828,24.908323",2,4
10280,"73.165996,17.539171",2,12
10281,"80.611787,17.5439225",2,10
10282,"80.6344895,17.5441095",1,10
10283,"80.6421065,17.5451005",2,10
10284,"76.562086,17.55952",2,10
10285,"77.7161105,17.5950775",2,10
10286,"78.479337,17.6325285",2,10
10287,"75.909381,17.657568",2,9
10288,"82.617537,17.659847",2,11
10289,"75.922041,17.6611945",1,9
1029,"86.2704325,24.9153",2,4
10290,"75.899344,17.665704",1,9
10291,"83.2149985,17.6721255",2,11
10292,"73.9827365,17.682423",1,9
10293,"83.2874085,17.690998",2,11
10294,"74.0587745,17.6929715",1,9
10295,"75.924486,17.6930315",1,9
10296,"83.290886,17.7017335",1,11
10297,"83.308464,17.719017",2,11
10298,"79.155784,17.7272665",1,10
10299,"83.3303635,17.727538",2,11
103,"79.762525,11.7692405",1,11
1030,"84.8475495,24.940662",1,4
10300,"83.278293,17.7303045",1,11
10301,"83.340901,17.7358495",1,11
10302,"83.257083,17.744466",1,11
10303,"83.31665,17.7471165",1,11
10304,"77.126795,17.77375",1,10
10305,"82.939014,17.8318505",1,11
10306,"77.5200235,17.8943125",1,10
10307,"77.507022,17.9131795",2,10
10308,"79.534159,17.977698",1,10
10309,"79.509992,17.978161",2,10
1031,"84.020156,24.950644",1,4
10310,"79.6162965,17.9802825",2,10
10311,"79.539818,18.0210565",1,10
10312,"79.546866,18.0246265",2,10
10313,"75.805774,18.0596495",2,9
10314,"79.5237815,18.069095",2,10
10315,"74.7034065,18.1108995",2,9
10316,"83.4065065,18.1235675",2,11
10317,"74.57827,18.1469415",1,9
10318,"74.566195,18.1537415",1,9
10319,"83.8856275,18.303408",1,11
1032,"85.2195205,25.009226",2,4
10320,"78.3425075,18.3229995",1,10
10321,"77.878477,18.376317",2,10
10322,"78.812839,18.3871255",1,10
10323,"76.55306,18.3901005",1,9
10324,"78.8124195,18.392463",1,10
10325,"76.550341,18.396532",1,9
10326,"83.890974,18.3995805",2,11
10327,"76.5816595,18.400473",1,9
10328,"76.8151735,18.4219375",1,9
10329,"79.1502025,18.4396975",1,10
1033,"88.138515,25.0158605",1,3
10330,"73.7739525,18.4584645",2,9
10331,"75.66249,18.460755",2,9
10332,"73.8808185,18.4754665",1,9
10333,"74.266807,18.4756765",2,9
10334,"73.8520955,18.483131",2,9
10335,"73.8572635,18.487037",2,9
10336,"73.8607815,18.5118125",1,9
10337,"73.8733035,18.513987",2,9
10338,"77.579366,18.5435365",2,9
10339,"73.803222,18.554494",2,9
1034,"86.063235,25.017411",2,4
10340,"73.929835,18.5625765",1,9
10341,"73.880183,18.5737905",1,9
10342,"73.923735,18.5777615",2,9
10343,"79.374914,18.616708",1,10
10344,"73.8043185,18.6245005",1,9
10345,"73.79593,18.626734",1,9
10346,"77.889853,18.6566645",1,10
10347,"73.683215,18.718803",2,9
10348,"76.3796995,18.722542",2,9
10349,"78.9159395,18.803536",2,10
1035,"84.831374,25.017962",2,4
10350,"79.5059105,18.8601275",2,10
10351,"79.4842735,18.8612765",1,10
10352,"79.4487485,18.8691395",1,10
10353,"72.804761,18.9703945",1,12
10354,"79.4872875,18.979994",1,10
10355,"75.7568365,18.9866935",2,9
10356,"75.7432425,18.9901465",2,9
10357,"79.472123,18.991462",1,10
10358,"72.907128,18.999353",2,12
10359,"75.7682385,19.001358",2,9
1036,"87.106348,25.0266695",2,7
10360,"72.8157595,19.005938",1,12
10361,"72.9005855,19.006856",2,12
10362,"72.8222375,19.0081215",1,12
10364,"72.896926,19.022329",2,12
10365,"73.0428275,19.0243805",1,12
10366,"72.9469465,19.0304055",2,12
10367,"72.9078255,19.031568",2,12
10368,"72.890184,19.0442965",1,12
10369,"72.9131345,19.051499",1,12
1037,"86.7523735,25.060821",1,7
10370,"72.925648,19.055556",2,12
10371,"72.8484355,19.0556135",2,12
10372,"73.11004,19.059233",1,12
10373,"72.8387375,19.063667",2,12
10374,"72.8755335,19.0641705",1,12
10375,"73.1174455,19.0643525",1,12
10376,"79.4849685,19.0655075",2,10
10377,"73.01724,19.074657",1,12
10378,"72.897668,19.0768775",2,12
10379,"82.025996,19.0797255",1,7
1038,"84.3068025,25.067566",1,4
10380,"74.7331095,19.07994",1,9
10381,"73.0306525,19.083349",2,12
10382,"74.7367285,19.0858895",1,9
10383,"74.775556,19.0924005",1,9
10384,"73.0015775,19.0992485",1,12
10385,"77.3265795,19.1050815",2,9
10386,"72.8883175,19.1083835",1,12
10387,"72.912082,19.1086025",2,12
10388,"72.837815,19.108725",2,12
10389,"77.3403115,19.1269245",2,9
1039,"86.1845,25.0737955",1,4
10390,"72.832368,19.1361375",1,12
10391,"72.8577015,19.1439635",2,12
